x,y,m
42,0,-1.0
-5,100,1.0
20,34,1.0
-48,61,-1.0
-53,4,-1.0
-17,4,1.0
33,13,1.0
13,38,-1.0
154,22,1.0
1,88,-1.0
-27,20,1.0
-28,4,-1.0
-25,8,-1.0
15,86,-1.0
-96,242,-1.0
-96,241,2.0
161,213,-1.0
-233,21,-1.0
-20,25,-1.0
0,0,1.0
-23,1,1.0
142,218,-1.0
112,82,1.0
38,51,-1.0
6,51,-1.0
4,40,-1.0
-1,37,1.0
-25,41,1.0
-102,234,-1.0
114,-5,-1.0
4,29,-1.0
22,3,1.0
22,5,-1.0
81,131,1.0
76,243,-1.0
107,129,-1.0
29,-2,1.0
15,32,1.0
-23,6,1.0
-69,269,2.0
-148,236,-1.0
-42,8,1.0
26,48,1.0
-150,235,-1.0
-238,48,-1.0
-39,13,-1.0
-25,32,1.0
33,16,1.0
131,155,1.0
26,8,1.0
-194,199,2.0
-124,33,-1.0
20,17,-1.0
-9,18,1.0
29,27,1.0
-20,268,2.0
154,209,2.0
-189,215,-1.0
-26,12,1.0
-147,99,1.0
31,21,-1.0
-109,151,-1.0
-132,244,-1.0
34,12,1.0
-92,172,1.0
28,59,-1.0
-2,24,-1.0
249,15,2.0
-23,22,1.0
27,-13,-1.0
-25,105,-1.0
-234,10,-1.0
22,47,-1.0
91,199,-1.0
-98,109,1.0
-158,208,-1.0
137,115,1.0
239,10,2.0
102,164,-1.0
-18,94,1.0
-159,222,2.0
15,26,1.0
7,187,-1.0
-225,10,-1.0
6,156,1.0
75,266,-1.0
21,272,2.0
-39,31,1.0
9,19,-1.0
-20,4,-1.0
64,192,-1.0
22,-2,1.0
-21,6,-1.0
-66,163,1.0
0,-2,1.0
4,4,1.0
-5,22,-1.0
0,0,-1.0
69,268,2.0
13,8,-1.0
-119,141,1.0
1,264,2.0
218,126,2.0
1,4,1.0
17,-1,1.0
-7,9,-1.0
10,13,1.0
-9,16,1.0
121,225,-1.0
6,14,-1.0
4,-6,1.0
-238,4,-1.0
-1,58,-1.0
75,119,-1.0
6,-2,-1.0
16,17,1.0
217,130,2.0
7,16,1.0
-39,41,-1.0
-138,230,2.0
227,50,-1.0
-23,78,1.0
-1,79,1.0
-230,11,-1.0
-38,26,-1.0
-26,-1,1.0
-103,148,-1.0
4,-3,1.0
-13,7,1.0
-136,253,-1.0
-16,7,1.0
-56,273,-1.0
165,196,-1.0
0,11,1.0
-88,151,-1.0
-20,7,-1.0
-53,74,-1.0
-10,2,1.0
4,-10,-1.0
0,0,1.0
