x,y,m
-10,76,1.0
-224,17,-1.0
74,60,-1.0
6,36,1.0
-12,186,-1.0
238,31,-1.0
9,31,-1.0
13,65,-1.0
98,239,2.0
147,230,2.0
-85,211,-1.0
-11,16,1.0
109,20,1.0
-1,41,-1.0
7,65,-1.0
-224,27,-1.0
-7,27,-1.0
64,38,1.0
228,47,2.0
55,59,-1.0
15,46,1.0
-230,-7,-1.0
-158,203,2.0
131,124,1.0
-147,25,1.0
72,189,-1.0
-26,0,1.0
28,84,-1.0
-132,218,2.0
36,69,-1.0
152,220,-1.0
-21,5,-1.0
-17,252,2.0
44,257,-1.0
47,85,1.0
-28,111,1.0
-38,257,-1.0
13,297,2.0
20,46,1.0
25,4,1.0
-132,220,2.0
-112,235,2.0
172,276,-1.0
20,-1,1.0
113,224,-1.0
-5,20,1.0
227,41,-1.0
6,-2,1.0
-2,17,1.0
115,140,-1.0
191,79,-1.0
232,15,-1.0
9,289,-1.0
-1,72,-1.0
-142,225,2.0
-202,227,-1.0
34,28,-1.0
-62,134,-1.0
38,42,-1.0
-17,10,1.0
7,37,-1.0
0,0,-1.0
-44,106,-1.0
-176,184,2.0
-153,205,-1.0
20,26,1.0
22,21,1.0
-91,115,-1.0
36,34,1.0
59,141,1.0
-151,217,2.0
132,216,2.0
4,259,-1.0
23,15,1.0
0,270,2.0
97,236,2.0
-21,127,-1.0
-55,133,-1.0
-203,64,-1.0
13,183,-1.0
112,228,2.0
-145,221,2.0
88,109,-1.0
-218,52,-1.0
34,28,-1.0
45,26,-1.0
116,223,2.0
56,248,2.0
-38,11,-1.0
-5,32,1.0
159,220,-1.0
-186,188,-1.0
-48,91,-1.0
-2,81,1.0
-112,237,-1.0
-28,64,1.0
6,10,1.0
2,52,-1.0
113,219,2.0
225,104,-1.0
-32,1,-1.0
0,0,-1.0
33,15,1.0
-225,15,-1.0
-227,4,2.0
28,5,1.0
-58,14,1.0
98,137,-1.0
18,110,-1.0
-165,185,-1.0
146,138,1.0
178,180,-1.0
0,0,1.0
-55,239,-1.0
172,93,-1.0
-31,271,-1.0
-22,66,-1.0
0,0,-1.0
176,185,2.0
-42,263,2.0
147,103,-1.0
55,248,-1.0
38,242,-1.0
-127,225,2.0
69,241,-1.0
-36,69,1.0
-94,229,-1.0
10,56,-1.0
0,0,1.0
-218,113,2.0
232,-4,2.0
17,71,-1.0
162,219,-1.0
0,0,1.0
-92,252,-1.0
-50,243,-1.0
-43,240,2.0
143,215,-1.0
-13,187,-1.0
244,87,2.0
39,243,-1.0
216,121,-1.0
-141,200,2.0
7,41,-1.0
-49,30,1.0
26,190,1.0
5,12,1.0
20,125,-1.0
115,74,1.0
-6,64,1.0
60,65,-1.0
147,2,-1.0
-121,155,1.0
21,88,1.0
-2,11,1.0
1,21,-1.0
-168,188,-1.0
-136,210,2.0
70,63,-1.0
94,239,2.0
-65,134,1.0
20,28,-1.0
-11,-3,1.0
-167,188,-1.0
-32,13,-1.0
0,0,1.0
50,65,1.0
6,83,1.0
12,55,1.0
-34,-1,1.0
7,38,1.0
-175,8,-1.0
165,188,-1.0
-189,165,-1.0
-40,101,1.0
-4,228,-1.0
170,5,1.0
-202,157,-1.0
168,113,1.0
6,13,1.0
1,20,1.0
7,130,1.0
-53,127,-1.0
6,68,1.0
-1,8,1.0
-15,13,1.0
11,7,-1.0
6,4,1.0
-38,84,-1.0
-2,5,1.0
233,-5,-1.0
-174,16,-1.0
-51,424,-1.0
-194,163,-1.0
-229,22,-1.0
230,34,-1.0
-4,16,1.0
173,24,-1.0
17,122,-1.0
23,127,1.0
109,240,2.0
12,62,-1.0
-6,53,-1.0
12,263,-1.0
-6,257,-1.0
1,15,1.0
42,10,1.0
200,147,-1.0
-1,6,1.0
31,146,-1.0
96,241,-1.0
5,195,1.0
40,132,-1.0
143,109,-1.0
27,17,1.0
-58,251,-1.0
-69,130,1.0
2,89,-1.0
-229,94,-1.0
-201,157,-1.0
75,16,-1.0
0,0,1.0
97,245,2.0
54,260,2.0
-190,171,-1.0
36,40,-1.0
-38,-2,-1.0
-237,88,-1.0
-9,13,1.0
97,152,-1.0
-173,187,2.0
10,258,2.0
0,11,1.0
172,201,-1.0
23,177,-1.0
11,34,-1.0
-7,-7,1.0
-225,19,-1.0
-54,8,1.0
225,14,-1.0
142,266,2.0
-126,169,-1.0
-17,8,1.0
2,17,1.0
-1,14,1.0
26,124,-1.0
-28,145,-1.0
1,19,1.0
-6,27,1.0
71,131,-1.0
-233,51,-1.0
-105,240,2.0
4,30,-1.0
18,159,-1.0
0,0,-1.0
6,161,-1.0
-4,5,1.0
43,205,-1.0
7,81,-1.0
-54,273,-1.0
-96,192,-1.0
129,241,-1.0
0,30,1.0
-97,255,-1.0
-120,246,-1.0
-98,241,2.0
76,145,-1.0
-89,155,1.0
213,148,2.0
202,190,-1.0
72,45,-1.0
86,127,-1.0
116,240,-1.0
184,197,-1.0
17,278,-1.0
-234,75,-1.0
-31,48,-1.0
-5,53,-1.0
234,37,-1.0
-39,272,-1.0
-6,19,-1.0
-2,268,-1.0
4,35,-1.0
0,19,1.0
-136,229,-1.0
-170,198,-1.0
232,41,-1.0
-190,337,-1.0
-1,10,1.0
6,16,1.0
-15,288,-1.0
25,85,1.0
7,64,-1.0
-200,196,2.0
151,53,1.0
-15,23,1.0
27,18,-1.0
-26,263,-1.0
86,243,-1.0
229,1,-1.0
10,16,1.0
-83,281,-1.0
13,17,1.0
228,33,-1.0
9,17,1.0
59,41,-1.0
-233,43,2.0
126,232,-1.0
87,149,1.0
-23,26,1.0
1,18,1.0
-135,232,2.0
-225,13,-1.0
15,8,1.0
98,20,-1.0
9,4,1.0
-153,239,-1.0
-229,138,2.0
-70,299,-1.0
-200,238,-1.0
227,-14,2.0
124,300,2.0
32,285,-1.0
-211,148,2.0
233,-4,2.0
27,6,-1.0
22,250,-1.0
6,11,-1.0
235,32,-1.0
141,57,-1.0
0,0,1.0
145,19,1.0
229,3,2.0
1,1,1.0
-6,-1,1.0
158,200,-1.0
163,197,-1.0
61,110,-1.0
7,151,1.0
-45,114,-1.0
-4,247,-1.0
5,21,-1.0
-1,20,1.0
164,201,-1.0
127,-4,-1.0
0,5,1.0
80,47,-1.0
45,61,1.0
-100,235,-1.0
4,3,1.0
9,47,1.0
121,-5,-1.0
9,148,-1.0
22,73,-1.0
-225,15,-1.0
-4,1,1.0
18,93,-1.0
-11,13,-1.0
229,52,-1.0
0,246,-1.0
-72,243,-1.0
-183,174,-1.0
-1,69,1.0
-1,-5,1.0
-148,115,1.0
5,73,1.0
230,46,-1.0
179,194,-1.0
219,120,-1.0
175,190,2.0
0,-1,1.0
-145,203,-1.0
-206,146,-1.0
37,11,1.0
-127,163,-1.0
-225,16,-1.0
23,74,1.0
-185,22,-1.0
-108,89,-1.0
54,28,-1.0
-140,257,-1.0
98,152,-1.0
22,21,-1.0
228,-19,2.0
-130,235,2.0
-9,13,-1.0
235,-3,2.0
234,6,2.0
-121,253,-1.0
7,2,1.0
-5,64,1.0
116,238,-1.0
-196,170,-1.0
-22,16,-1.0
5,12,1.0
4,4,1.0
136,214,2.0
21,249,-1.0
2,2,1.0
42,281,2.0
213,122,2.0
10,69,-1.0
7,39,1.0
7,7,1.0
23,5,1.0
13,211,-1.0
12,28,-1.0
-227,-19,-1.0
-70,268,-1.0
15,13,-1.0
127,217,-1.0
4,13,1.0
47,29,1.0
-28,23,1.0
227,-24,2.0
-89,264,-1.0
48,132,-1.0
235,88,-1.0
71,192,-1.0
142,226,2.0
45,94,-1.0
21,61,1.0
-26,14,-1.0
-109,255,-1.0
-20,34,-1.0
-230,-18,-1.0
-31,1,-1.0
0,0,1.0
55,242,2.0
148,16,-1.0
-34,116,-1.0
72,59,1.0
93,248,-1.0
4,34,-1.0
-230,-12,2.0
31,78,1.0
16,17,1.0
36,282,-1.0
-22,20,-1.0
-7,82,-1.0
-20,137,1.0
-163,203,2.0
-1,51,1.0
-165,180,-1.0
-21,6,-1.0
18,113,-1.0
39,5,1.0
-206,138,2.0
-233,-21,2.0
-17,17,-1.0
48,14,-1.0
27,104,-1.0
-169,204,-1.0
-43,20,-1.0
-234,-5,-1.0
-32,38,1.0
-195,162,2.0
-1,114,-1.0
26,34,1.0
145,229,-1.0
-153,204,-1.0
71,243,2.0
-56,69,1.0
28,1,-1.0
21,29,1.0
-94,76,-1.0
-2,113,1.0
-12,97,1.0
13,7,1.0
89,235,2.0
237,2,-1.0
15,48,1.0
-159,137,-1.0
20,-4,-1.0
13,12,-1.0
32,5,-1.0
21,67,1.0
-118,131,-1.0
-36,1,-1.0
2,59,-1.0
-125,164,-1.0
-29,96,-1.0
-136,223,2.0
15,18,-1.0
174,190,-1.0
-20,16,-1.0
-234,75,2.0
17,8,1.0
54,4,1.0
21,21,1.0
-21,165,1.0
-51,149,1.0
161,199,-1.0
132,102,-1.0
-22,88,1.0
-71,257,-1.0
-159,211,-1.0
21,16,1.0
11,8,1.0
-233,2,2.0
-15,26,1.0
-232,92,-1.0
17,33,1.0
152,205,2.0
33,17,-1.0
78,95,-1.0
-190,168,2.0
223,2,-1.0
10,18,1.0
-2,81,-1.0
-18,20,1.0
237,28,-1.0
36,18,-1.0
-195,165,-1.0
16,22,1.0
234,33,-1.0
-136,226,-1.0
4,22,-1.0
-12,17,1.0
6,21,1.0
232,38,-1.0
29,18,1.0
-225,27,2.0
61,258,-1.0
-228,50,2.0
-2,71,-1.0
66,41,1.0
13,28,1.0
80,249,-1.0
-15,352,-1.0
-21,54,-1.0
12,68,-1.0
232,41,2.0
-142,220,2.0
233,44,-1.0
173,210,2.0
232,47,-1.0
-82,301,-1.0
-142,221,-1.0
-6,55,1.0
18,18,-1.0
32,7,-1.0
26,22,-1.0
-112,242,-1.0
-234,73,2.0
-60,179,1.0
-17,7,1.0
-20,57,-1.0
22,21,1.0
218,136,2.0
-222,27,-1.0
190,233,-1.0
-185,167,2.0
153,194,2.0
-104,234,2.0
228,42,2.0
229,48,-1.0
-7,20,-1.0
11,95,-1.0
0,0,1.0
-159,15,-1.0
12,24,-1.0
-12,79,-1.0
-119,220,-1.0
-1,73,-1.0
152,19,1.0
146,211,2.0
222,45,-1.0
-181,132,1.0
-11,5,1.0
200,6,-1.0
146,218,-1.0
-20,0,1.0
17,4,1.0
-156,199,2.0
16,17,-1.0
-98,51,1.0
-227,14,-1.0
-10,5,1.0
60,258,2.0
113,21,1.0
153,201,-1.0
143,15,1.0
-4,24,1.0
-13,10,-1.0
-132,20,-1.0
-228,24,2.0
180,192,-1.0
-87,237,2.0
-148,221,-1.0
-103,239,2.0
72,431,-1.0
-179,197,2.0
-23,16,-1.0
157,216,-1.0
-175,166,-1.0
17,3,1.0
-116,230,-1.0
-32,69,-1.0
-51,55,-1.0
98,171,-1.0
7,1,1.0
4,24,1.0
6,1,1.0
42,85,-1.0
0,0,1.0
33,116,-1.0
-43,94,1.0
12,-1,1.0
-45,15,-1.0
119,172,-1.0
-6,8,1.0
1,4,1.0
-94,6,-1.0
-239,29,-1.0
-129,3,-1.0
217,146,-1.0
237,61,2.0
7,4,1.0
-153,213,2.0
-9,82,-1.0
134,-22,-1.0
76,255,-1.0
217,147,2.0
-237,-11,2.0
17,14,-1.0
115,253,-1.0
-176,190,-1.0
-158,231,-1.0
9,8,1.0
-7,-4,1.0
239,57,-1.0
129,224,2.0
18,167,1.0
-11,16,-1.0
-190,167,-1.0
-222,96,-1.0
-39,115,-1.0
-227,106,2.0
234,89,-1.0
-1,-3,1.0
-131,117,-1.0
-18,256,2.0
-6,22,-1.0
0,0,1.0
0,0,1.0
-113,162,-1.0
-142,217,-1.0
20,11,1.0
71,254,2.0
-230,20,-1.0
145,225,-1.0
45,95,1.0
-11,1,1.0
53,48,1.0
38,17,-1.0
-32,85,-1.0
-165,211,2.0
-43,123,1.0
-27,122,1.0
23,8,1.0
-27,146,-1.0
103,268,-1.0
13,17,1.0
-44,85,-1.0
-55,117,-1.0
-23,269,-1.0
-72,206,1.0
-105,238,-1.0
-2,23,1.0
47,272,-1.0
