x,y,m
-202,174,-1.0
5,15,-1.0
-230,117,-1.0
-49,-31,-1.0
221,97,-1.0
11,8,1.0
27,36,1.0
227,44,2.0
-110,131,1.0
1,5,1.0
-126,251,-1.0
5,11,1.0
219,95,2.0
10,13,-1.0
225,37,2.0
-131,382,-1.0
103,156,-1.0
-98,37,1.0
-201,143,-1.0
-11,6,1.0
6,116,1.0
-228,14,-1.0
116,242,2.0
53,258,-1.0
9,64,-1.0
6,4,1.0
11,110,1.0
-89,58,1.0
1,6,-1.0
17,38,1.0
78,17,-1.0
245,43,-1.0
26,9,-1.0
-6,22,-1.0
45,27,1.0
-18,10,-1.0
165,231,-1.0
-208,138,2.0
-36,19,-1.0
-223,106,2.0
167,201,2.0
6,101,-1.0
-11,251,-1.0
1,63,-1.0
-7,13,1.0
-200,135,2.0
-222,104,-1.0
-58,20,-1.0
6,30,1.0
-213,110,2.0
249,48,-1.0
74,63,1.0
-223,2,-1.0
-53,59,-1.0
-60,78,-1.0
31,30,-1.0
22,267,2.0
-23,-50,-1.0
-31,31,1.0
230,143,-1.0
5,42,1.0
97,173,-1.0
175,337,-1.0
-7,57,-1.0
-199,176,2.0
-224,145,-1.0
-145,242,2.0
168,199,2.0
-40,184,-1.0
183,192,-1.0
42,35,-1.0
-194,215,2.0
-60,174,-1.0
26,34,-1.0
49,115,1.0
53,92,1.0
99,131,-1.0
146,239,-1.0
4,30,1.0
152,219,2.0
-16,53,-1.0
114,251,-1.0
-167,204,2.0
140,226,-1.0
-153,225,2.0
67,266,-1.0
5,37,1.0
-66,272,2.0
164,229,-1.0
92,163,-1.0
-2,35,1.0
-207,183,-1.0
-62,262,2.0
-11,15,1.0
15,110,1.0
-197,193,-1.0
-184,204,2.0
123,220,-1.0
103,236,-1.0
0,0,-1.0
0,0,-1.0
-233,47,-1.0
91,151,-1.0
116,530,-1.0
-234,46,-1.0
26,267,-1.0
-233,7,2.0
-170,212,-1.0
-148,225,-1.0
65,235,-1.0
99,93,-1.0
235,18,2.0
96,258,-1.0
32,62,-1.0
127,236,-1.0
124,231,2.0
-93,251,2.0
230,42,2.0
49,31,1.0
-109,243,2.0
150,206,-1.0
37,253,-1.0
157,197,2.0
55,313,-1.0
-16,317,-1.0
-12,22,1.0
-107,317,-1.0
11,11,1.0
10,86,1.0
-42,264,2.0
58,26,1.0
165,205,2.0
-1,57,-1.0
-114,281,-1.0
-157,226,-1.0
137,212,-1.0
-71,63,1.0
-65,75,-1.0
-13,13,1.0
45,23,-1.0
-22,263,-1.0
36,254,-1.0
-25,20,1.0
147,216,-1.0
-91,253,-1.0
92,2,1.0
-94,34,1.0
-135,218,-1.0
119,59,1.0
-9,76,1.0
6,39,1.0
-233,-20,2.0
-2,7,1.0
-172,196,-1.0
-12,54,-1.0
67,163,-1.0
-234,73,-1.0
18,25,-1.0
-5,11,1.0
18,27,1.0
5,11,-1.0
-22,96,-1.0
222,97,2.0
-229,-11,2.0
9,37,-1.0
189,163,2.0
-104,225,-1.0
0,80,-1.0
