game_id,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_wins,home_team_losses,home_team_score,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_wins,away_team_losses,away_team_score,arena,arena_city,arena_state,arena_country,arena_timezone,gameTimeET,gameTimeUTC,duration,attendance,sellout
0022301011,1610612765,Pistons,Detroit,DET,12,58,102,1610612738,Celtics,Boston,BOS,56,14,129,Little Caesars Arena,Detroit,MI,US,Eastern,2024-03-22T19:00:00Z,2024-03-22T23:00:00Z,1:60,19994,0
0022300495,1610612755,76ers,Philadelphia,PHI,23,12,109,1610612762,Jazz,Utah,UTA,17,20,120,Wells Fargo Center,Philadelphia,PA,US,Eastern,2024-01-06T19:30:00Z,2024-01-07T00:30:00Z,2:13,20278,1
0022300180,1610612755,76ers,Philadelphia,PHI,8,1,137,1610612754,Pacers,Indiana,IND,6,4,126,Wells Fargo Center,Philadelphia,PA,US,Eastern,2023-11-12T18:00:00Z,2023-11-12T23:00:00Z,2:06,19758,1
0022300929,1610612758,Kings,Sacramento,SAC,36,27,104,1610612745,Rockets,Houston,HOU,29,35,112,Golden 1 Center,Sacramento,CA,US,Pacific,2024-03-10T18:00:00Z,2024-03-10T22:00:00Z,2:19,18022,1
0022300883,1610612758,Kings,Sacramento,SAC,34,26,109,1610612741,Bulls,Chicago,CHI,29,32,113,Golden 1 Center,Sacramento,CA,US,Pacific,2024-03-04T22:00:00Z,2024-03-05T03:00:00Z,2:19,17832,1
0022300753,1610612764,Wizards,Washington,WAS,9,43,113,1610612755,76ers,Philadelphia,PHI,31,21,119,Capital One Arena,Washington,DC,US,Eastern,2024-02-10T19:00:00Z,2024-02-11T00:00:00Z,2:13,20333,1
0022300303,1610612758,Kings,Sacramento,SAC,13,8,131,1610612751,Nets,Brooklyn,BKN,12,10,118,Golden 1 Center,Sacramento,CA,US,Pacific,2023-12-11T22:00:00Z,2023-12-12T03:00:00Z,2:11,17794,1
0022301142,1610612744,Warriors,Golden State,GSW,43,35,118,1610612762,Jazz,Utah,UTA,29,49,110,Chase Center,San Francisco,CA,US,Pacific,2024-04-07T20:30:00Z,2024-04-08T00:30:00Z,2:07,18064,1
0022301007,1610612749,Bucks,Milwaukee,MIL,45,25,115,1610612751,Nets,Brooklyn,BKN,26,44,108,Fiserv Forum,Milwaukee,WI,US,Central,2024-03-21T20:00:00Z,2024-03-22T00:00:00Z,2:17,17341,1
0022300616,1610612740,Pelicans,New Orleans,NOP,26,18,153,1610612762,Jazz,Utah,UTA,22,23,124,Smoothie King Center,New Orleans,LA,US,Central,2024-01-23T20:00:00Z,2024-01-24T01:00:00Z,2:06,16032,0
0022300246,1610612738,Celtics,Boston,BOS,13,4,113,1610612737,Hawks,Atlanta,ATL,8,8,103,TD Garden,Boston,MA,US,Eastern,2023-11-26T18:00:00Z,2023-11-26T23:00:00Z,2:08,19156,1
0022300568,1610612746,Clippers,LA,LAC,26,14,128,1610612760,Thunder,Oklahoma City,OKC,27,13,117,Crypto.com Arena,Los Angeles,CA,US,Pacific,2024-01-16T22:00:00Z,2024-01-17T03:00:00Z,2:20,19370,1
0022300092,1610612761,Raptors,Toronto,TOR,1,2,107,1610612755,76ers,Philadelphia,PHI,1,1,114,Scotiabank Arena,Toronto,ON,US,Eastern,2023-10-28T19:30:00Z,2023-10-28T23:30:00Z,2:10,19800,1
0022300138,1610612750,Timberwolves,Minnesota,MIN,3,2,123,1610612762,Jazz,Utah,UTA,2,5,95,Target Center,Minneapolis,MN,US,Central,2023-11-04T20:00:00Z,2023-11-05T00:00:00Z,2:10,18024,1
0022300991,1610612753,Magic,Orlando,ORL,41,28,112,1610612766,Hornets,Charlotte,CHA,17,52,92,Kia Center,Orlando,FL,US,Eastern,2024-03-19T19:00:00Z,2024-03-19T23:00:00Z,2:02,18846,1
0022300587,1610612748,Heat,Miami,MIA,24,18,108,1610612737,Hawks,Atlanta,ATL,18,23,109,Kaseya Center,Miami,FL,US,Eastern,2024-01-19T20:00:00Z,2024-01-20T01:00:00Z,2:34,20040,1
0022301115,1610612766,Hornets,Charlotte,CHA,19,58,124,1610612753,Magic,Orlando,ORL,45,32,115,Spectrum Center,Charlotte,NC,US,Eastern,2024-04-05T19:00:00Z,2024-04-05T23:00:00Z,2:14,16374,0
0022300354,1610612761,Raptors,Toronto,TOR,11,15,114,1610612766,Hornets,Charlotte,CHA,7,18,99,Scotiabank Arena,Toronto,ON,US,Eastern,2023-12-18T19:30:00Z,2023-12-19T00:30:00Z,2:05,19288,0
0022300704,1610612765,Pistons,Detroit,DET,6,43,99,1610612753,Magic,Orlando,ORL,27,23,111,Little Caesars Arena,Detroit,MI,US,Eastern,2024-02-04T15:00:00Z,2024-02-04T20:00:00Z,2:08,17982,0
0022300211,1610612761,Raptors,Toronto,TOR,6,7,142,1610612765,Pistons,Detroit,DET,2,12,113,Scotiabank Arena,Toronto,ON,US,Eastern,2023-11-19T16:00:00Z,2023-11-19T21:00:00Z,2:12,19182,0
