home_win,home_team_tricode,arena,attendance,sellout,gameTimeET,gameTimeUTC,duration
1,OKC,Paycom Center,16486,0,2023-11-06T20:00:00Z,2023-11-07T01:00:00Z,2:17
1,LAL,Crypto.com Arena,18997,1,2024-01-07T21:30:00Z,2024-01-08T02:30:00Z,2:17
1,SAS,Frost Bank Center,18516,1,2024-04-14T15:30:00Z,2024-04-14T19:30:00Z,1:55
0,DEN,Ball Arena,19617,1,2024-02-14T21:00:00Z,2024-02-15T02:00:00Z,2:15
0,UTA,Delta Center,18206,1,2024-02-12T21:00:00Z,2024-02-13T02:00:00Z,2:07
0,DET,Little Caesars Arena,14988,0,2023-12-11T19:00:00Z,2023-12-12T00:00:00Z,2:12
1,GSW,Chase Center,18064,1,2023-12-16T20:30:00Z,2023-12-17T01:30:00Z,2:14
1,MIN,Target Center,18024,1,2024-04-12T20:00:00Z,2024-04-13T00:00:00Z,2:23
1,CLE,Rocket Mortgage FieldHouse,19432,1,2024-01-17T19:30:00Z,2024-01-18T00:30:00Z,2:02
1,DET,Little Caesars Arena,20062,1,2023-10-28T19:00:00Z,2023-10-28T23:00:00Z,2:11
1,HOU,Toyota Center,16263,0,2023-11-01T20:00:00Z,2023-11-02T00:00:00Z,2:08
1,ATL,State Farm Arena,17173,1,2024-02-25T19:00:00Z,2024-02-26T00:00:00Z,2:06
0,POR,Moda Center,18762,0,2023-12-08T22:00:00Z,2023-12-09T03:00:00Z,2:16
1,NOP,Smoothie King Center,18865,1,2024-03-15T20:00:00Z,2024-03-16T00:00:00Z,2:09
1,POR,Moda Center,18861,0,2023-12-29T22:00:00Z,2023-12-30T03:00:00Z,2:14
0,BKN,Barclays Center,17931,1,2023-10-25T19:30:00Z,2023-10-25T23:30:00Z,2:18
1,LAC,Crypto.com Arena,19370,1,2024-02-10T15:30:00Z,2024-02-10T20:30:00Z,2:13
1,BOS,TD Garden,19156,1,2023-12-14T19:30:00Z,2023-12-15T00:30:00Z,2:07
1,CLE,Rocket Mortgage FieldHouse,19432,1,2024-04-10T19:00:00Z,2024-04-10T23:00:00Z,2:09
0,CLE,Rocket Mortgage FieldHouse,19432,1,2024-03-03T19:00:00Z,2024-03-04T00:00:00Z,2:07
0,ATL,State Farm Arena,17722,1,2023-11-11T19:30:00Z,2023-11-12T00:30:00Z,2:13
0,GSW,Chase Center,18064,1,2024-01-10T20:30:00Z,2024-01-11T01:30:00Z,2:20
1,CLE,Rocket Mortgage FieldHouse,19432,1,2023-11-17T19:30:00Z,2023-11-18T00:30:00Z,2:05
1,MEM,FedExForum,17794,1,2024-01-02T20:00:00Z,2024-01-03T01:00:00Z,2:20
