home_win,home_team_tricode,away_team_tricode,home_team_score,away_team_score,arena,gameTimeET,duration,attendance,sellout
,IND,DET,136,113,Gainbridge Fieldhouse,2023-11-24T20:00:00Z,2:14,17274,1
,MIL,SAC,143,142,Fiserv Forum,2024-01-14T19:00:00Z,2:41,17612,1
,IND,CHI,105,112,Gainbridge Fieldhouse,2023-10-30T19:00:00Z,2:26,15021,0
,UTA,CHA,107,115,Delta Center,2024-02-22T21:00:00Z,2:14,18206,1
,POR,WAS,117,118,Moda Center,2023-12-21T22:00:00Z,2:23,18690,0
,SAS,GSW,113,117,Frost Bank Center,2024-03-31T19:00:00Z,2:11,18718,1
,MIN,ORL,106,108,Target Center,2024-02-02T20:00:00Z,2:16,18024,1
,BOS,BKN,121,107,TD Garden,2023-11-10T19:30:00Z,2:11,19156,1
,DET,TOR,129,127,Little Caesars Arena,2023-12-30T18:00:00Z,2:25,18411,0
,MEM,ATL,92,99,FedExForum,2024-03-08T20:00:00Z,2:11,16667,0
,LAL,WAS,134,131,Crypto.com Arena,2024-02-29T22:30:00Z,2:23,18997,1
,OKC,ATL,126,117,Paycom Center,2023-11-06T20:00:00Z,2:17,16486,0
,LAL,LAC,106,103,Crypto.com Arena,2024-01-07T21:30:00Z,2:17,18997,1
,SAS,DET,123,95,Frost Bank Center,2024-04-14T15:30:00Z,1:55,18516,1
,DEN,SAC,98,102,Ball Arena,2024-02-14T21:00:00Z,2:15,19617,1
,UTA,GSW,107,129,Delta Center,2024-02-12T21:00:00Z,2:07,18206,1
,DET,IND,123,131,Little Caesars Arena,2023-12-11T19:00:00Z,2:12,14988,0
,GSW,BKN,124,120,Chase Center,2023-12-16T20:30:00Z,2:14,18064,1
,MIN,ATL,109,106,Target Center,2024-04-12T20:00:00Z,2:23,18024,1
,CLE,MIL,135,95,Rocket Mortgage FieldHouse,2024-01-17T19:30:00Z,2:02,19432,1
,DET,CHI,118,102,Little Caesars Arena,2023-10-28T19:00:00Z,2:11,20062,1
,HOU,CHA,128,119,Toyota Center,2023-11-01T20:00:00Z,2:08,16263,0
,ATL,ORL,109,92,State Farm Arena,2024-02-25T19:00:00Z,2:06,17173,1
,POR,DAL,112,125,Moda Center,2023-12-08T22:00:00Z,2:16,18762,0
,NOP,LAC,112,104,Smoothie King Center,2024-03-15T20:00:00Z,2:09,18865,1
,POR,SAS,134,128,Moda Center,2023-12-29T22:00:00Z,2:14,18861,0
,BKN,CLE,113,114,Barclays Center,2023-10-25T19:30:00Z,2:18,17931,1
,LAC,DET,112,106,Crypto.com Arena,2024-02-10T15:30:00Z,2:13,19370,1
,BOS,CLE,116,107,TD Garden,2023-12-14T19:30:00Z,2:07,19156,1
,CLE,MEM,110,98,Rocket Mortgage FieldHouse,2024-04-10T19:00:00Z,2:09,19432,1
,CLE,NYK,98,107,Rocket Mortgage FieldHouse,2024-03-03T19:00:00Z,2:07,19432,1
,ATL,MIA,109,117,State Farm Arena,2023-11-11T19:30:00Z,2:13,17722,1
,GSW,NOP,105,141,Chase Center,2024-01-10T20:30:00Z,2:20,18064,1
,CLE,DET,108,100,Rocket Mortgage FieldHouse,2023-11-17T19:30:00Z,2:05,19432,1
,MEM,SAS,106,98,FedExForum,2024-01-02T20:00:00Z,2:20,17794,1
,DET,CHA,114,97,Little Caesars Arena,2024-03-11T19:00:00Z,2:07,18003,0
,GSW,MIL,125,90,Chase Center,2024-03-06T22:00:00Z,2:11,18064,1
,ATL,IND,108,126,State Farm Arena,2024-01-12T19:30:00Z,2:05,15596,0
,HOU,LAL,128,94,Toyota Center,2023-11-08T20:00:00Z,2:12,18055,1
,ORL,ATL,117,110,Kia Center,2024-01-07T18:00:00Z,2:35,19349,1
,TOR,GSW,105,120,Scotiabank Arena,2024-03-01T19:30:00Z,2:10,19800,1
,ATL,NOP,103,116,State Farm Arena,2024-03-10T18:00:00Z,2:02,17695,1
,SAC,ORL,138,135,Golden 1 Center,2024-01-03T22:00:00Z,2:59,17832,1
,LAL,MEM,134,107,Crypto.com Arena,2023-11-14T22:30:00Z,2:15,18430,0
,MIA,LAC,95,103,Kaseya Center,2024-02-04T18:00:00Z,2:17,19855,1
,SAC,WAS,143,131,Golden 1 Center,2023-12-18T22:00:00Z,2:17,17794,1
,CHI,NYK,108,100,United Center,2024-04-05T20:00:00Z,2:16,21599,1
,NYK,NOP,92,115,Madison Square Garden,2024-02-27T19:30:00Z,2:08,19812,1
,ORL,LAL,120,101,Amway Center,2023-11-04T19:00:00Z,2:21,18846,1
,UTA,IND,132,105,Delta Center,2024-01-15T21:00:00Z,2:16,18206,1
,MEM,NOP,104,111,FedExForum,2023-10-25T20:00:00Z,2:21,17798,1
,BOS,DET,128,122,TD Garden,2023-12-28T19:30:00Z,2:31,19156,1
,MEM,OKC,112,118,FedExForum,2024-03-16T20:00:00Z,2:19,17012,0
,LAL,NOP,133,89,T-Mobile Arena,2023-12-07T21:00:00Z,2:12,18017,1
,DET,NOP,101,114,Little Caesars Arena,2024-03-24T15:00:00Z,2:09,19922,0
,IND,PHX,133,131,Gainbridge Fieldhouse,2024-01-26T19:00:00Z,2:17,17274,1
,BKN,CHA,128,129,Barclays Center,2023-11-30T19:30:00Z,2:01,16072,0
,MIL,MIA,97,123,Fiserv Forum,2024-02-13T20:00:00Z,2:06,17520,1
,UTA,POR,118,113,Delta Center,2023-12-02T21:30:00Z,2:29,18206,1
,POR,UTA,114,122,Moda Center,2023-12-14T22:00:00Z,2:07,17842,0
,MIL,ORL,117,99,Fiserv Forum,2024-04-10T20:00:00Z,2:12,17563,1
,PHI,NOP,95,103,Wells Fargo Center,2024-03-08T19:00:00Z,2:14,19777,1
,HOU,MEM,111,91,Toyota Center,2023-11-22T20:00:00Z,2:18,18055,1
,MIA,PHX,105,118,Kaseya Center,2024-01-29T19:30:00Z,2:12,19600,1
,SAS,NYK,130,126,Frost Bank Center,2024-03-29T20:00:00Z,2:37,18604,1
,CHA,OKC,118,121,Spectrum Center,2024-04-07T18:00:00Z,2:13,16556,0
,DET,UTA,111,119,Little Caesars Arena,2023-12-21T19:00:00Z,2:08,18122,0
,UTA,OKC,124,117,Delta Center,2024-02-06T21:00:00Z,2:08,18206,1
