x,y,m
-112,-1,1.0
2,103,1.0
-50,260,-1.0
38,23,-1.0
224,159,-1.0
-37,254,2.0
-59,252,-1.0
-10,26,1.0
140,232,2.0
5,21,1.0
-21,67,-1.0
181,184,2.0
2,34,1.0
-45,41,1.0
26,20,-1.0
-27,-4,-1.0
-98,112,1.0
22,37,1.0
-54,113,-1.0
9,91,1.0
18,0,1.0
230,-3,2.0
-36,49,-1.0
194,181,-1.0
-217,148,2.0
145,220,2.0
67,115,-1.0
34,13,-1.0
0,0,1.0
-103,58,-1.0
-25,18,-1.0
-6,21,1.0
25,1,1.0
-40,100,1.0
99,113,-1.0
124,232,2.0
27,10,1.0
119,220,-1.0
32,25,1.0
-27,29,-1.0
-65,265,2.0
29,33,1.0
64,137,-1.0
7,140,-1.0
173,231,-1.0
58,63,-1.0
-223,-7,-1.0
-32,5,1.0
6,3,1.0
237,52,-1.0
22,17,1.0
-222,-17,2.0
229,56,2.0
80,66,1.0
-157,215,2.0
142,226,-1.0
5,3,1.0
18,201,1.0
-64,114,1.0
-98,169,-1.0
0,0,1.0
2,50,1.0
-40,-6,-1.0
-47,184,1.0
2,183,-1.0
154,218,-1.0
1,1,1.0
11,-4,1.0
124,274,-1.0
10,10,1.0
-20,-10,1.0
7,46,1.0
-156,199,-1.0
-113,66,-1.0
-200,158,2.0
45,-6,1.0
-227,-16,2.0
-40,30,1.0
-1,255,2.0
69,184,-1.0
-26,262,2.0
45,1,-1.0
121,141,-1.0
27,14,1.0
132,258,-1.0
-12,146,1.0
201,184,2.0
170,172,-1.0
112,261,-1.0
34,56,1.0
20,76,-1.0
-94,2,-1.0
138,228,2.0
223,32,-1.0
-2,26,1.0
120,28,-1.0
0,0,1.0
-22,18,-1.0
-16,6,-1.0
0,0,1.0
-33,50,-1.0
-77,273,2.0
-2,64,1.0
126,239,2.0
232,33,-1.0
-15,53,1.0
-54,21,1.0
-85,55,-1.0
-55,79,-1.0
-165,233,2.0
154,227,-1.0
-22,277,-1.0
67,102,-1.0
-40,21,1.0
135,70,-1.0
-238,15,-1.0
113,21,1.0
25,13,1.0
-76,60,1.0
-9,22,1.0
-120,115,-1.0
-37,58,-1.0
0,0,-1.0
-235,52,-1.0
85,38,-1.0
-22,50,1.0
135,243,-1.0
-11,64,-1.0
-22,277,2.0
2,17,1.0
170,217,-1.0
-23,13,-1.0
11,27,-1.0
51,39,-1.0
16,109,-1.0
224,7,2.0
10,29,1.0
127,246,-1.0
0,0,-1.0
4,289,-1.0
54,26,-1.0
0,0,1.0
-7,20,1.0
125,41,1.0
186,190,-1.0
-17,12,1.0
234,105,-1.0
-238,-7,-1.0
206,140,2.0
-33,66,1.0
51,37,-1.0
11,73,-1.0
45,35,-1.0
15,258,-1.0
-118,251,-1.0
5,9,1.0
-239,1,-1.0
67,145,-1.0
238,-13,2.0
196,189,2.0
127,94,1.0
-23,3,1.0
53,150,-1.0
37,24,1.0
26,51,1.0
43,22,-1.0
20,166,1.0
20,1,-1.0
28,51,1.0
39,167,-1.0
-59,124,1.0
-7,17,1.0
-5,136,-1.0
-240,-4,-1.0
-92,278,-1.0
0,0,-1.0
11,17,-1.0
213,109,-1.0
195,205,-1.0
-234,-5,2.0
-224,138,2.0
-7,261,-1.0
-12,21,1.0
140,248,-1.0
47,95,1.0
28,45,1.0
-55,32,-1.0
-27,9,1.0
-243,-1,-1.0
-16,9,1.0
-64,88,1.0
-36,4,1.0
-230,115,-1.0
18,17,1.0
9,32,1.0
-1,28,1.0
18,6,1.0
-21,258,-1.0
-6,31,-1.0
50,28,-1.0
-83,146,1.0
126,117,-1.0
185,170,2.0
27,4,1.0
-72,123,1.0
56,165,-1.0
0,0,1.0
58,252,2.0
127,28,-1.0
27,-5,-1.0
-53,130,-1.0
-1,17,1.0
-94,267,-1.0
104,243,2.0
48,33,1.0
89,247,-1.0
-200,199,-1.0
-43,8,-1.0
-225,142,2.0
17,7,1.0
22,6,-1.0
-238,131,-1.0
29,165,-1.0
104,249,2.0
232,73,-1.0
-34,167,1.0
-53,8,-1.0
6,17,1.0
-240,-15,-1.0
-33,28,-1.0
-109,86,1.0
-13,16,1.0
-76,217,1.0
-60,43,-1.0
56,1,-1.0
-129,246,-1.0
157,195,-1.0
0,0,1.0
-186,214,-1.0
116,170,1.0
-67,148,1.0
-107,121,1.0
-239,-4,-1.0
47,-8,-1.0
56,20,-1.0
227,-4,-1.0
21,0,1.0
-42,100,-1.0
-76,15,1.0
-115,35,-1.0
238,57,-1.0
31,48,-1.0
-123,205,-1.0
-2,22,-1.0
-181,158,2.0
21,250,-1.0
-23,15,-1.0
-233,-11,2.0
0,59,-1.0
-142,215,-1.0
12,-2,1.0
18,11,-1.0
17,20,-1.0
1,69,1.0
29,-1,-1.0
-13,13,-1.0
77,0,1.0
-45,92,-1.0
7,45,-1.0
0,0,1.0
124,231,2.0
120,22,1.0
-143,231,-1.0
-109,219,-1.0
1,9,1.0
-224,-11,2.0
2,10,1.0
-26,15,1.0
47,79,1.0
25,17,-1.0
-16,8,-1.0
-71,147,-1.0
82,17,1.0
-157,203,2.0
54,41,-1.0
5,80,-1.0
-11,104,-1.0
100,244,2.0
-54,105,1.0
145,223,2.0
-20,21,1.0
18,36,-1.0
-7,38,1.0
-22,13,1.0
-62,260,2.0
89,28,-1.0
-119,253,-1.0
-69,55,1.0
-6,259,2.0
-66,48,-1.0
223,88,-1.0
-15,32,-1.0
-18,33,1.0
-11,12,1.0
7,27,1.0
-234,41,-1.0
-104,259,-1.0
-5,21,1.0
-80,36,-1.0
25,32,-1.0
-21,84,-1.0
-51,62,-1.0
-45,258,2.0
6,29,1.0
227,54,2.0
51,253,2.0
238,49,2.0
9,128,-1.0
-190,168,2.0
48,123,-1.0
0,0,-1.0
-210,153,-1.0
-6,107,-1.0
65,249,-1.0
1,59,-1.0
0,0,1.0
-75,264,-1.0
21,32,1.0
-114,37,1.0
4,55,1.0
-159,214,-1.0
1,25,1.0
2,8,1.0
229,7,-1.0
87,102,1.0
-58,90,1.0
5,27,-1.0
-210,169,-1.0
-40,258,-1.0
-153,165,-1.0
109,134,-1.0
-10,4,1.0
-178,210,-1.0
-50,127,-1.0
-194,175,2.0
86,252,-1.0
97,54,-1.0
-181,174,-1.0
229,-10,-1.0
6,174,-1.0
81,136,1.0
10,7,1.0
-173,200,2.0
-189,225,-1.0
-22,17,1.0
5,7,1.0
-85,84,1.0
-114,249,-1.0
-6,55,1.0
65,247,-1.0
0,0,-1.0
18,31,1.0
-108,86,1.0
-175,197,-1.0
-69,122,1.0
-2,-1,1.0
-115,131,-1.0
99,244,2.0
-93,254,-1.0
-62,254,-1.0
233,11,2.0
-233,10,2.0
-235,8,2.0
20,-4,1.0
-221,153,-1.0
194,220,-1.0
53,6,1.0
12,22,1.0
-38,125,-1.0
88,111,-1.0
232,-1,2.0
-112,237,-1.0
-1,24,-1.0
0,0,1.0
2,10,1.0
-99,243,-1.0
-161,213,2.0
135,227,-1.0
129,231,-1.0
-135,234,-1.0
-125,230,-1.0
-194,157,2.0
77,263,-1.0
-161,31,-1.0
181,253,-1.0
239,62,-1.0
-167,199,-1.0
2,84,-1.0
2,52,1.0
7,471,-1.0
-116,59,-1.0
45,29,1.0
-2,6,-1.0
70,109,-1.0
4,88,-1.0
7,125,-1.0
75,110,1.0
239,53,-1.0
-150,210,2.0
-67,110,1.0
-17,143,1.0
-43,37,-1.0
9,31,1.0
-120,234,2.0
-23,-1,1.0
-235,98,-1.0
-69,260,-1.0
-2,9,1.0
58,279,2.0
53,111,-1.0
185,197,-1.0
141,271,-1.0
0,0,1.0
235,31,2.0
-12,10,1.0
56,246,-1.0
131,211,-1.0
26,15,-1.0
152,205,-1.0
-86,79,-1.0
-225,25,2.0
180,211,-1.0
180,163,-1.0
9,52,-1.0
-207,125,-1.0
-158,187,2.0
-43,243,2.0
11,69,-1.0
125,214,-1.0
15,38,1.0
70,59,-1.0
0,41,1.0
152,205,-1.0
-186,164,-1.0
22,251,2.0
38,251,2.0
-23,19,-1.0
-169,184,-1.0
-227,-16,2.0
9,42,-1.0
6,104,1.0
176,192,-1.0
-158,188,2.0
-48,17,1.0
13,250,2.0
5,53,1.0
-164,177,-1.0
131,224,-1.0
-195,167,2.0
20,35,-1.0
1,38,-1.0
-195,152,2.0
225,19,2.0
9,-1,1.0
11,62,-1.0
135,216,2.0
121,246,2.0
228,22,2.0
-232,-6,2.0
210,241,2.0
173,183,-1.0
234,28,2.0
235,107,-1.0
-120,253,2.0
2,21,1.0
-154,212,-1.0
-172,190,-1.0
28,21,-1.0
-11,42,-1.0
29,25,1.0
-163,207,-1.0
142,55,1.0
-83,242,-1.0
142,235,2.0
233,68,2.0
56,268,-1.0
-148,222,2.0
2,63,1.0
-164,206,-1.0
221,37,2.0
-164,197,-1.0
-140,246,-1.0
-9,71,-1.0
0,0,1.0
234,15,2.0
-162,206,-1.0
109,239,-1.0
-22,29,1.0
-7,270,2.0
17,17,1.0
1,65,1.0
-21,28,1.0
233,84,-1.0
181,176,-1.0
40,48,-1.0
179,189,2.0
-1,73,1.0
-238,21,-1.0
146,222,2.0
138,243,-1.0
-232,17,-1.0
232,17,2.0
223,21,-1.0
69,251,2.0
-38,15,1.0
-42,87,1.0
-235,10,2.0
-227,11,-1.0
-6,105,-1.0
65,53,-1.0
-196,158,-1.0
10,36,1.0
