x,y,m
17,13,1.0
-124,218,2.0
-13,30,1.0
17,-4,1.0
58,92,1.0
-34,166,1.0
134,220,-1.0
-26,248,2.0
-54,27,-1.0
-72,241,2.0
-235,3,-1.0
-9,46,1.0
-5,267,2.0
154,210,2.0
123,233,-1.0
13,16,1.0
-12,22,1.0
232,125,-1.0
201,67,-1.0
-21,26,-1.0
9,16,1.0
2,44,-1.0
29,15,1.0
20,16,-1.0
-200,160,2.0
-228,31,-1.0
-225,70,-1.0
18,27,-1.0
6,38,-1.0
11,16,1.0
31,13,-1.0
11,34,-1.0
15,22,1.0
-48,22,-1.0
-222,138,2.0
229,-3,2.0
-113,274,2.0
148,214,-1.0
-125,239,2.0
-16,13,1.0
76,46,-1.0
40,31,-1.0
71,251,-1.0
15,12,1.0
-161,209,-1.0
103,238,2.0
-4,38,1.0
-127,252,-1.0
85,260,2.0
-2,279,2.0
56,29,1.0
-108,220,2.0
134,211,-1.0
66,-2,-1.0
59,90,-1.0
191,169,-1.0
-13,88,1.0
22,17,1.0
-80,53,-1.0
65,142,-1.0
-105,221,-1.0
-156,192,-1.0
51,42,1.0
-38,22,-1.0
23,10,1.0
26,6,1.0
-44,58,-1.0
228,1,2.0
-66,41,-1.0
-232,-4,2.0
-40,242,2.0
-81,146,1.0
-27,19,1.0
67,84,1.0
-107,-12,1.0
-112,221,2.0
-55,61,1.0
-76,64,-1.0
71,62,1.0
-32,14,-1.0
-232,-13,-1.0
0,0,1.0
-58,69,1.0
-69,71,-1.0
-6,24,-1.0
-77,235,-1.0
-228,16,-1.0
169,176,2.0
141,208,2.0
237,68,2.0
37,11,1.0
93,4,1.0
81,72,1.0
28,15,1.0
104,71,-1.0
-167,8,1.0
20,21,1.0
88,239,2.0
2,79,-1.0
49,268,-1.0
-230,84,2.0
-92,68,1.0
-98,242,2.0
-229,112,-1.0
94,237,2.0
16,27,1.0
-199,172,-1.0
-127,231,2.0
-32,37,-1.0
40,252,2.0
-72,115,-1.0
-235,18,-1.0
67,42,-1.0
-234,73,-1.0
-27,33,-1.0
100,238,-1.0
-105,20,-1.0
-5,28,-1.0
-66,57,-1.0
40,34,-1.0
