x,y,m
110,136,-1.0
-36,177,-1.0
16,19,1.0
-233,-13,-1.0
-27,14,1.0
-18,9,1.0
-9,63,-1.0
-26,16,-1.0
-13,-2,1.0
-228,0,-1.0
0,0,1.0
26,35,1.0
172,101,-1.0
20,13,1.0
-153,204,2.0
-154,8,-1.0
165,201,2.0
0,10,1.0
224,20,2.0
-4,15,-1.0
-6,19,-1.0
17,19,-1.0
243,84,-1.0
93,488,-1.0
92,258,-1.0
-225,-26,2.0
22,27,-1.0
-11,114,-1.0
55,62,-1.0
-16,9,1.0
17,11,-1.0
-197,1,-1.0
-77,155,1.0
136,19,-1.0
138,108,1.0
4,21,1.0
0,10,1.0
23,10,1.0
-105,225,2.0
-136,210,-1.0
239,21,-1.0
58,68,1.0
32,276,-1.0
-102,231,-1.0
225,57,-1.0
-40,70,-1.0
45,112,-1.0
-11,60,1.0
223,6,-1.0
127,39,-1.0
-5,64,1.0
23,27,1.0
227,131,-1.0
34,48,-1.0
199,155,-1.0
-93,158,-1.0
-16,11,1.0
11,4,-1.0
-27,13,1.0
-218,152,-1.0
-4,59,-1.0
60,78,-1.0
-23,18,-1.0
213,147,2.0
-17,306,-1.0
-10,256,-1.0
132,125,-1.0
146,23,1.0
145,199,-1.0
2,27,1.0
-9,222,-1.0
-202,194,-1.0
162,205,-1.0
10,2,1.0
-1,65,-1.0
10,10,1.0
-13,28,1.0
-10,117,-1.0
-31,83,-1.0
156,73,-1.0
218,122,-1.0
12,92,-1.0
-142,222,-1.0
25,7,1.0
92,244,-1.0
18,22,-1.0
-26,92,-1.0
152,64,1.0
-98,151,-1.0
-206,71,-1.0
-32,179,-1.0
154,236,-1.0
0,12,1.0
-6,23,-1.0
11,29,1.0
-83,244,2.0
0,22,1.0
-42,64,-1.0
-2,23,1.0
-161,205,-1.0
98,-5,-1.0
-12,13,1.0
33,104,-1.0
9,64,-1.0
-4,13,1.0
-56,253,-1.0
4,73,1.0
-1,8,1.0
-38,258,2.0
-4,18,1.0
227,23,-1.0
-6,17,-1.0
-10,10,-1.0
159,195,-1.0
224,1,2.0
-28,64,1.0
-116,230,2.0
70,273,-1.0
-12,27,-1.0
173,188,2.0
-11,118,-1.0
-13,27,-1.0
64,251,2.0
-6,12,1.0
-4,12,1.0
-97,247,-1.0
81,89,1.0
194,162,2.0
-235,44,-1.0
228,13,-1.0
1,7,1.0
162,194,-1.0
-223,2,-1.0
-69,174,-1.0
-89,31,-1.0
-6,0,1.0
-119,122,-1.0
-10,5,1.0
-27,48,-1.0
0,45,1.0
-9,5,1.0
6,1,1.0
-225,29,2.0
227,0,2.0
85,245,2.0
-9,0,1.0
-4,32,-1.0
-135,214,-1.0
-1,4,-1.0
118,230,2.0
15,6,1.0
7,1,1.0
158,260,-1.0
-4,14,1.0
-2,9,1.0
137,219,-1.0
48,19,1.0
-230,34,2.0
228,6,2.0
23,17,-1.0
-1,8,1.0
-4,5,1.0
2,27,-1.0
0,0,1.0
17,77,1.0
-48,156,-1.0
-127,221,2.0
123,237,-1.0
-233,12,2.0
-167,232,2.0
-15,272,2.0
-92,274,-1.0
150,220,2.0
222,12,2.0
-18,13,1.0
-105,236,-1.0
72,32,-1.0
232,104,2.0
-21,120,1.0
-232,17,-1.0
-94,173,-1.0
146,238,-1.0
0,0,1.0
4,18,1.0
-109,79,1.0
-81,251,-1.0
233,52,-1.0
-239,-11,2.0
-38,65,1.0
-1,17,1.0
0,44,1.0
-147,217,2.0
-205,179,2.0
44,258,2.0
-74,258,-1.0
-119,107,-1.0
-153,230,-1.0
-40,31,-1.0
0,0,1.0
136,233,2.0
15,33,1.0
227,133,-1.0
116,214,-1.0
185,210,2.0
-69,91,-1.0
-17,39,-1.0
-10,73,1.0
-233,34,2.0
96,142,-1.0
228,22,-1.0
72,165,-1.0
-27,4,1.0
22,280,-1.0
240,31,-1.0
-6,16,1.0
96,-13,1.0
159,227,2.0
55,3,-1.0
-223,-7,2.0
-77,-8,-1.0
-23,190,-1.0
13,8,1.0
-156,241,-1.0
15,24,-1.0
-94,245,-1.0
-15,8,-1.0
50,22,-1.0
26,5,1.0
-113,1,1.0
-26,-5,1.0
40,9,1.0
233,19,-1.0
28,5,-1.0
0,0,1.0
165,227,-1.0
20,43,1.0
-8,-6,1.0
102,266,2.0
-152,214,2.0
-7,14,1.0
-82,257,2.0
12,19,1.0
-18,5,1.0
45,9,1.0
58,35,-1.0
-227,-13,2.0
178,176,-1.0
10,68,1.0
34,15,1.0
43,14,1.0
140,247,-1.0
50,27,-1.0
92,156,-1.0
25,4,1.0
39,79,1.0
-34,-11,1.0
33,21,1.0
1,-1,-1.0
