x,y,m
31,26,1.0
-157,27,-1.0
-27,295,2.0
11,46,-1.0
-190,202,-1.0
-40,27,-1.0
-32,47,1.0
43,34,1.0
-10,67,-1.0
-175,205,-1.0
-32,20,1.0
-197,180,-1.0
193,3,1.0
196,167,-1.0
214,147,-1.0
118,101,-1.0
-183,180,-1.0
-104,256,-1.0
28,22,1.0
36,38,1.0
36,272,2.0
-104,264,2.0
-4,47,-1.0
208,154,-1.0
29,279,-1.0
-223,123,-1.0
-50,17,-1.0
145,105,1.0
-12,170,1.0
51,157,1.0
-10,196,1.0
91,247,-1.0
-206,186,2.0
2,291,2.0
-235,54,2.0
-32,13,1.0
28,22,1.0
-163,187,-1.0
-228,29,2.0
239,9,2.0
-32,21,-1.0
45,10,1.0
36,22,1.0
16,11,1.0
-11,31,1.0
55,9,-1.0
51,17,1.0
50,52,-1.0
-162,204,-1.0
105,71,1.0
202,176,-1.0
167,222,-1.0
29,24,1.0
16,179,-1.0
178,10,1.0
-180,167,-1.0
-131,215,-1.0
11,103,1.0
-164,189,2.0
-1,80,-1.0
-168,188,-1.0
31,47,-1.0
0,0,1.0
125,230,-1.0
217,159,-1.0
238,10,2.0
40,25,-1.0
230,22,2.0
-192,153,-1.0
-37,261,2.0
224,22,2.0
134,104,-1.0
214,151,2.0
44,19,-1.0
-223,-20,-1.0
-44,19,-1.0
56,75,-1.0
-5,36,-1.0
-140,204,2.0
118,124,-1.0
235,155,-1.0
225,11,-1.0
-228,-12,2.0
59,172,-1.0
112,14,-1.0
27,261,2.0
172,240,-1.0
-172,190,-1.0
-221,1,-1.0
-47,45,-1.0
213,137,2.0
-150,220,-1.0
17,26,1.0
-81,246,2.0
-13,281,-1.0
51,43,-1.0
32,18,1.0
25,29,1.0
159,2,1.0
31,32,-1.0
-188,246,-1.0
229,16,2.0
-232,74,2.0
-168,281,-1.0
-116,241,-1.0
48,70,1.0
230,70,2.0
-97,247,2.0
120,226,-1.0
-53,48,-1.0
0,113,-1.0
-48,249,2.0
40,33,-1.0
0,0,-1.0
-183,185,2.0
-29,69,-1.0
-29,34,-1.0
-21,6,1.0
-5,262,-1.0
-195,178,-1.0
143,214,-1.0
31,20,1.0
208,148,-1.0
-26,21,1.0
-48,23,-1.0
-22,26,-1.0
-37,25,-1.0
-4,20,1.0
22,13,-1.0
0,0,1.0
-21,11,1.0
22,8,1.0
1,65,-1.0
-237,84,-1.0
-239,97,-1.0
85,236,2.0
18,8,1.0
-34,258,-1.0
-44,58,-1.0
56,186,1.0
0,406,2.0
33,8,1.0
102,250,2.0
-17,-1,-1.0
31,10,-1.0
-138,201,-1.0
221,146,-1.0
-83,234,-1.0
51,14,-1.0
26,3,1.0
55,27,1.0
218,113,2.0
114,158,-1.0
-69,40,1.0
-102,227,2.0
-105,30,1.0
-27,17,1.0
-161,185,-1.0
0,0,1.0
199,-22,-1.0
29,16,1.0
76,122,1.0
165,-21,-1.0
124,55,-1.0
40,20,-1.0
173,187,-1.0
150,138,1.0
37,138,1.0
-9,252,-1.0
188,171,2.0
-109,263,2.0
-82,15,-1.0
-23,9,1.0
59,74,-1.0
11,25,-1.0
212,-8,-1.0
-222,-5,-1.0
-224,-7,-1.0
32,20,1.0
140,303,2.0
-18,-5,1.0
157,255,2.0
-180,180,-1.0
230,116,2.0
237,115,2.0
-22,6,-1.0
-131,231,-1.0
-38,24,-1.0
-223,-8,2.0
207,155,-1.0
-1,41,1.0
-205,153,2.0
12,129,1.0
37,47,-1.0
-33,169,-1.0
7,34,-1.0
125,61,-1.0
-184,171,-1.0
-112,-18,-1.0
148,235,2.0
37,20,1.0
7,157,-1.0
-168,185,2.0
107,241,2.0
202,179,2.0
49,15,-1.0
-51,13,-1.0
32,10,1.0
28,53,-1.0
170,204,-1.0
-183,176,-1.0
0,0,1.0
37,21,1.0
100,51,-1.0
45,257,-1.0
18,46,1.0
147,243,-1.0
33,13,-1.0
-163,182,2.0
28,162,1.0
-55,22,1.0
59,25,-1.0
0,0,1.0
213,163,2.0
47,22,-1.0
-230,-10,2.0
-27,19,-1.0
-235,-21,2.0
234,78,2.0
-40,11,1.0
-129,218,-1.0
-28,171,1.0
-27,16,-1.0
0,0,1.0
163,205,-1.0
29,42,-1.0
13,36,1.0
-205,77,1.0
-211,164,-1.0
42,22,-1.0
0,0,1.0
33,183,1.0
-32,83,1.0
-16,73,-1.0
-165,221,-1.0
-26,13,1.0
-172,27,-1.0
0,50,-1.0
-96,65,-1.0
-190,188,2.0
25,-5,-1.0
-205,241,-1.0
-131,253,-1.0
-18,74,1.0
113,230,2.0
164,205,-1.0
26,195,-1.0
-33,57,-1.0
25,62,-1.0
0,0,-1.0
-99,280,-1.0
-109,116,1.0
-93,90,-1.0
-157,60,1.0
-237,-11,2.0
-33,37,-1.0
-40,33,1.0
147,-1,1.0
116,244,2.0
49,294,2.0
-16,191,1.0
31,68,-1.0
0,0,-1.0
-229,126,2.0
-174,210,2.0
43,37,-1.0
-1,79,-1.0
110,244,-1.0
-99,85,1.0
22,277,-1.0
16,46,1.0
-5,21,-1.0
0,0,-1.0
29,17,-1.0
-132,236,-1.0
-116,115,-1.0
-167,214,2.0
-119,38,1.0
227,15,2.0
51,121,-1.0
-10,29,1.0
16,20,1.0
-28,132,1.0
-50,147,-1.0
-26,22,-1.0
145,92,-1.0
188,174,-1.0
234,23,-1.0
-21,23,1.0
-140,232,2.0
-77,141,-1.0
10,17,-1.0
210,160,-1.0
-152,217,2.0
183,184,2.0
183,190,-1.0
124,85,1.0
56,138,-1.0
18,112,-1.0
-9,33,1.0
-21,41,-1.0
16,86,-1.0
21,260,2.0
214,151,2.0
-109,94,1.0
-10,36,-1.0
-126,258,-1.0
199,183,2.0
-194,53,1.0
110,29,1.0
-168,212,-1.0
-13,39,1.0
114,249,-1.0
93,141,1.0
92,281,-1.0
-17,16,1.0
224,25,-1.0
36,37,1.0
0,29,1.0
214,135,-1.0
-21,9,1.0
22,19,1.0
20,27,-1.0
-234,-1,2.0
184,192,2.0
23,25,1.0
29,25,-1.0
0,0,-1.0
65,256,2.0
12,43,1.0
6,13,1.0
-6,24,1.0
167,222,2.0
-163,220,-1.0
-130,241,-1.0
-21,83,-1.0
175,200,-1.0
80,162,-1.0
-60,116,-1.0
0,0,1.0
168,215,2.0
131,239,-1.0
1,34,1.0
199,178,-1.0
96,43,1.0
115,1,-1.0
-212,131,-1.0
178,199,-1.0
-27,3,1.0
-192,192,2.0
15,24,1.0
